Link,title,location,company,salary,summary,upload
https://kr.indeed.com/viewjob?jk=b4a7ac21faba2e67,검색 인프라 엔지니어,서울 서초구,당근마켓,,"분을 찾고 있어요 널리 쓰이는 프로그래밍 언어(Golang, java, python, c++, javascript 등) 한 가지 이상에 능숙하신 분... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...",Posted30일 전
https://kr.indeed.com/viewjob?jk=3e1b8e1243910f18,eBeam System Engineer for R&D Extension Korea,경기도 화성,Applied Materials Inc.,,"organizations Capability & programing experience with MATLAB, Python, etc. Qualifications Education: Bachelor's Degree...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=9b63b5f993896a6b,Product Engineer - MPC/MDP/MDM,경기도 성남,Siemens Electronic Design Automation (Korea) LLC,,"experience... following: EDA with emphasis on semi OPC; C/C++, Python, TCL, MATLAB or any high-level programming language...",Posted15일 전
https://kr.indeed.com/viewjob?jk=fc037709d0770796,System SW 엔지니어,성남 분당구,딥엑스,"연봉 40,000,000원 - 100,000,000원",사항: 대학교(4년)졸업 이상 [기본 요구능력] - ASM/C/C++/ Python 언어 코딩 기술 - 운영체제 SW 설계 및 구현 - 알고리즘/네트워... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=a692f83229bd339f,Datacenter Engineer,서울,Oracle,,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=031eec3794f09645,데이터 서비스/플랫폼 개발,성남 판교역,NHN,,"데이터 수집, 처리 및 지표 분석 경험 - 데이터 기반의 문제해결 역량 및 논리적 사고 - Java, Python, Scala 중 최소 1가지 언어를 이용한 데이터 분석 및 소프트웨어 개발 역량 - 통계분석, ML/AI...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=ec5c7ccd76639120,[외국계 스타트업 미소] Data Analyst,서울,유한회사 미소,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=88a59364cd7a0fa1,Support Engineer-PaaS Dev,서울,Microsoft,,"Java, Node, Python, PHP and Ruby, .NET... Linux, NGNIX, Apache, Java, Node, Python, PHP and Ruby • Experience with customer...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=3ced56cc00e72154,소프트웨어개발 경력무관 (정규직),서울 성동구,보다텍,"월급 2,000,000원","우대사항 ㆍOpenCV, TensorFlow 경험 보유 ㆍ데이터 가공 및 분석 경험보유 필수요건 ㆍC++, Python 중 하나 이상 사용 가능한 자 ㆍ영상처리, Vision 관련 머신 러닝, 딥러닝 기술경험자 [근무시간 및...",Posted1일 전
https://kr.indeed.com/viewjob?jk=e67716c26d372980,TeraVM Field Applications Engineer,서울,Viavi Solutions,,"Hands on experience in using Linux scripting languages ( Python, Perl, tshark, etc) Experience in working with Virtualisation...",Posted16일 전
https://kr.indeed.com/viewjob?jk=e658236007117d98,Junior Business Analyst (Non-tech),서울,Coupang,,"의와 체계적 사고체계를 갖추신 분 [우대 조건] 이커머스, 리테일, 물류 관련 도메인 경험을 보유하신 분 Python, R 등 기타 프로그램 언어 사용 경험을 보유하신 분 한국어 및 영어 모두 능숙한 커뮤니케이션이 가능하...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=87e6d02f116aab21,"[입사축하금100만원, 전문연구요원] 데이터사이언티스트 / 영상인식 개발자",서울 금천구,카비,,"문제 해결 경험 보유자ㆍSQL, Python, R 등 통계/분석 프로그램... 빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python",Posted30+일 전
https://kr.indeed.com/viewjob?jk=14e834e10cf0292f,Developer - Cloud Infrastructure,서울,SAP,,Your tasks will include developing a python based scalable job execution platform... development with Python Experience...,Posted4일 전
